SST,COEFF1,COEFF2,COEFF3,COEFF4
18.472,1.39,0.834,0.381,0.279
18.537,1.395,0.833,0.373,0.28
18.602,1.378,0.836,0.367,0.283
18.669,1.4,0.83,0.36,0.285
18.736,1.429,0.824,0.351,0.287
18.804,1.431,0.819,0.342,0.29
18.871,1.439,0.815,0.338,0.294
18.939,1.453,0.811,0.332,0.296
19.008,1.458,0.808,0.327,0.298
19.077,1.465,0.805,0.325,0.299
19.146,1.485,0.803,0.321,0.303
19.216,1.508,0.799,0.32,0.303
19.287,1.545,0.793,0.316,0.307
19.358,1.553,0.787,0.315,0.308
19.428,1.568,0.783,0.311,0.311
19.5,1.612,0.776,0.31,0.312
19.571,1.629,0.772,0.301,0.318
19.643,1.642,0.77,0.3,0.323
19.715,1.648,0.772,0.295,0.33
19.787,1.634,0.772,0.291,0.337
19.86,1.603,0.774,0.279,0.349
19.933,1.575,0.779,0.273,0.357
20.006,1.543,0.783,0.263,0.369
20.079,1.552,0.785,0.251,0.382
20.153,1.557,0.789,0.241,0.393
20.228,1.555,0.793,0.237,0.4
20.304,1.56,0.795,0.23,0.412
20.381,1.56,0.798,0.225,0.421
20.459,1.532,0.8,0.22,0.432
20.542,1.502,0.804,0.213,0.45
